method	gene	split	cohort	n	called	correct	accuracy_all	call_rate	accuracy_called	unseen_alleles	majority_accuracy
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	KPanRef-Korean	28	28	28	1.0	1.0	1.0	0	0.14285714285714285
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	ALL	740	735	727	0.9824324324324324	0.9932432432432432	0.9891156462585035	1	0.1972972972972973
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	APR	106	103	103	0.9716981132075472	0.9716981132075472	1.0	0	0.2641509433962264
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	CPC-Chinese	114	114	111	0.9736842105263158	1.0	0.9736842105263158	1	0.15789473684210525
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	HPRC-EastAsian	70	69	69	0.9857142857142858	0.9857142857142858	1.0	0	0.18571428571428572
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	HPRC-Japanese	32	32	31	0.96875	1.0	0.96875	0	0.1875
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	HPRC-Rest	360	359	355	0.9861111111111112	0.9972222222222222	0.9888579387186629	0	0.20555555555555555
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.2
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.05555555555555555
gene_flanks_31mer_fixed	HLA-DQA1	leave_family_out	KPanRef-Korean	28	28	28	1.0	1.0	1.0	0	0.14285714285714285
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	ALL	737	737	715	0.9701492537313433	1.0	0.9701492537313433	20	0.10854816824966079
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	APR	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0	0.10476190476190476
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	CPC-Chinese	114	114	112	0.9824561403508771	1.0	0.9824561403508771	2	0.043859649122807015
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	HPRC-EastAsian	70	70	70	1.0	1.0	1.0	0	0.22857142857142856
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	HPRC-Japanese	32	32	31	0.96875	1.0	0.96875	1	0.0625
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	HPRC-Rest	359	359	341	0.9498607242339833	1.0	0.9498607242339833	17	0.11420612813370473
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.1
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.1111111111111111
gene_flanks_31mer_fixed	HLA-DQB1	leave_cohort_out	KPanRef-Korean	27	27	27	1.0	1.0	1.0	0	0.07407407407407407
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	ALL	737	737	729	0.989145183175034	1.0	0.989145183175034	6	0.14925373134328357
